Zip,LatLong,Population
14456,"42.846127, -77.006235","20,216"
13403,"43.164533, -75.267645","7,919"
12151,"42.922697, -73.787225",706
14464,"43.326618, -77.929685","7,637"
12033,"42.543138, -73.705499","8,188"
12721,"41.568348, -74.427346","5,513"
14502,"43.109233, -77.344072","9,197"
11978,"40.829341, -72.629768","3,800"
14568,"43.159881, -77.281348","5,874"
12015,"42.292243, -73.821532","2,832"
14814,"42.141860, -76.950494","1,747"
12571,"42.007516, -73.823254","11,834"
13045,"42.587244, -76.188554","29,174"
12759,"41.786385, -74.660591","1,683"
14845,"42.203190, -76.839324","19,892"
12143,"42.489818, -73.855238","5,348"
12589,"41.626536, -74.145217","13,261"
10973,"41.380516, -74.480462","1,887"
14004,"42.898738, -78.517223","12,241"
12489,"41.755712, -74.349070",290
12063,"42.553220, -73.632347",192
12594,"41.646342, -73.562593","3,618"
14564,"42.981266, -77.431077","9,903"
12548,"41.657693, -74.101817","1,528"
12439,"42.295070, -74.213326",107
14174,"43.249139, -78.998325","5,742"
10597,"41.292024, -73.606222",445
13602,"44.061817, -75.741909","4,651"
12443,"41.934991, -74.084925","3,859"
14032,"43.046776, -78.631524","5,553"
10560,"41.340527, -73.597609","4,941"
12779,"41.696285, -74.628008","1,544"
13424,"43.158842, -75.357088","2,744"
14034,"42.495620, -78.860854","6,105"
14830,"42.129568, -77.029569","19,342"
12010,"42.935694, -74.172293","28,544"
14132,"43.152672, -78.867925","5,572"
10985,"41.583519, -74.373188",57
12754,"41.802957, -74.745419","7,130"
13069,"43.329278, -76.380658","26,451"
12831,"43.190815, -73.691874","14,204"
10579,"41.397661, -73.839130","7,945"
12498,"42.046044, -74.109455","5,417"
14136,"42.521331, -79.175253","5,429"
14808,"42.563230, -77.467272",595
12095,"43.034887, -74.423556","12,911"
14108,"43.264549, -78.733324","5,938"
11954,"41.047283, -71.949541","3,851"
13037,"43.058819, -75.867355","8,772"
12549,"41.520026, -74.257424","8,670"
13078,"42.958484, -76.061077","8,625"
10524,"41.375242, -73.926122","4,232"
12463,"42.185728, -74.028971","1,360"
10171,"40.755899, -73.973858",1
13469,"43.214828, -75.302367",807
13120,"42.933170, -76.175146","2,998"
10576,"41.221577, -73.572332","4,530"
12534,"42.224111, -73.756154","18,686"
12531,"41.520881, -73.659921","3,051"
12481,"41.976090, -74.207238","1,269"
14892,"42.046025, -76.529114","8,258"
12841,"43.639940, -73.507678",87
14894,"42.019488, -76.750371","2,531"
12148,"42.827793, -73.848164","2,929"
13108,"42.964845, -76.331113","6,057"
12540,"41.669552, -73.714516","6,633"
14874,"42.531888, -77.178619",216
13082,"43.102730, -75.959888","5,012"
13135,"43.248350, -76.332359","5,750"
12158,"42.542092, -73.822124","5,779"
12186,"42.640203, -73.982848","6,461"
12078,"43.134351, -74.339632","23,853"
11965,"41.076855, -72.341896","1,080"
13820,"42.483429, -75.036905","21,058"
14454,"42.797774, -77.774638","10,207"
11933,"40.917015, -72.754074","5,857"
13060,"43.024403, -76.423425","2,852"
13795,"42.056638, -75.778938","3,770"
12491,"41.965186, -74.141441","1,610"
13030,"43.148972, -76.033624","4,272"
14522,"43.061864, -77.224684","8,766"
14424,"42.856695, -77.303277","24,878"
10916,"41.442343, -74.250577","4,070"
12184,"42.420039, -73.653177","7,273"
12580,"41.863651, -73.871535","3,869"
12487,"41.877496, -73.999323","3,856"
13662,"44.933501, -74.878245","16,729"
12751,"41.682808, -74.656247",387
13036,"43.309256, -76.166775","8,462"
12701,"41.652125, -74.698825","11,522"
12974,"44.043787, -73.472821","1,540"
13132,"43.271927, -76.251046","4,310"
12828,"43.254993, -73.558355","8,358"
11958,"41.039067, -72.464419",445
12566,"41.622479, -74.340383","11,061"
12572,"41.924885, -73.863664","9,960"
14589,"43.249424, -77.174261","7,653"
10919,"41.526746, -74.378036",562
12140,"42.696684, -73.540064","1,303"
14487,"42.810905, -77.636990","5,786"
14481,"42.770069, -77.921401","3,676"
12792,"41.525311, -74.938845",295
12413,"42.313984, -74.022160","2,673"
14057,"42.640511, -78.879414","8,276"
14170,"42.700245, -78.674307","2,633"
12173,"42.371855, -73.754161","2,357"
10926,"41.276440, -74.116509","3,275"
14472,"42.973554, -77.576983","8,140"
12170,"43.001956, -73.667271","5,037"
13669,"44.654951, -75.485053","17,892"
10516,"41.462100, -73.875003","5,190"
11964,"41.055701, -72.316976","1,148"
14432,"42.956106, -77.140338","6,106"
12789,"41.694323, -74.574261","1,677"
14414,"42.890961, -77.743757","6,428"
12583,"42.059591, -73.883626","2,427"
13456,"43.000897, -75.260892","4,277"
12956,"44.097612, -73.481333","2,036"
13148,"42.920125, -76.779988","10,913"
13607,"44.338200, -75.887805","2,017"
12585,"41.726404, -73.691510",956
12414,"42.235013, -73.924019","11,641"
13165,"42.916639, -76.883297","10,828"
11932,"40.939791, -72.308369","1,429"
11975,"40.941107, -72.244466",398
14028,"43.318386, -78.719214","1,737"
14548,"42.976397, -77.240263","4,149"
11976,"40.929237, -72.347410","1,822"
12470,"42.293989, -74.037917",729
13032,"43.081629, -75.766050","12,427"
12018,"42.628833, -73.520770","7,513"
12564,"41.577105, -73.589238","6,644"
10998,"41.324048, -74.541192","3,648"
12106,"42.386683, -73.711898","2,297"
12903,"44.684070, -73.445756",44
12123,"42.522140, -73.606447","5,245"
12009,"42.700772, -74.031194","7,628"
13346,"42.817210, -75.538579","5,735"
14475,"42.937819, -77.498297",223
11930,"40.988145, -72.104673","1,167"
14872,"42.228710, -76.872294",480
14470,"43.205212, -78.057685","8,953"
14870,"42.182406, -77.124783","9,347"
14428,"43.077283, -77.872558","7,539"
14069,"42.600308, -78.638387",785
12428,"41.734369, -74.457205","8,367"
14001,"43.036593, -78.510856","9,289"
14733,"42.160122, -79.172199","4,019"
12849,"43.441613, -73.300072",445
13490,"43.109467, -75.424150","1,710"
12451,"42.309379, -73.958879","1,496"
14546,"43.032675, -77.780006","5,479"
13076,"43.353717, -76.149319","2,344"
13080,"43.080922, -76.465078","3,553"
14103,"43.211161, -78.376770","11,612"
13166,"43.068039, -76.544080","6,107"
14482,"42.973460, -77.960890","9,198"
14585,"42.889753, -77.546889",273
13655,"44.982056, -74.650084","2,558"
14843,"42.320079, -77.646339","13,383"
14505,"43.159419, -77.168961","5,908"
14787,"42.311648, -79.571405","5,487"
13476,"43.087503, -75.509514","3,219"
12788,"41.787539, -74.589314","2,935"
14172,"43.286046, -78.818100","3,230"
14551,"43.218114, -77.049402","5,596"
12578,"41.808483, -73.781304","2,105"
13827,"42.109832, -76.249951","11,823"
12575,"41.486109, -74.158896","2,089"
13815,"42.547416, -75.533555","14,019"
13340,"43.061642, -75.128570","7,937"
12025,"43.083346, -74.138092","5,683"
12871,"43.088569, -73.612965","4,033"
12747,"41.750928, -74.692894","1,939"
12962,"44.710163, -73.594763","5,967"
14712,"42.183745, -79.361923","3,533"
13612,"43.985237, -75.769370","2,711"
14485,"42.882635, -77.601026","4,593"
12507,"42.008365, -73.918926",108
10958,"41.379281, -74.423711","2,967"
13152,"42.905238, -76.381554","8,453"
12192,"42.417040, -73.817206","2,270"
12863,"43.063469, -73.935709",596
12043,"42.693970, -74.530506","8,207"
13053,"42.479574, -76.267919","4,413"
14131,"43.235271, -78.899008","5,307"
14025,"42.621454, -78.726069","3,141"
14411,"43.235972, -78.216477","14,676"
14530,"42.741094, -78.014636","5,780"
13164,"43.092042, -76.313051","1,759"
14543,"42.990648, -77.679529","3,296"
13833,"42.198205, -75.768632","4,463"
12775,"41.623302, -74.592546","1,666"
12749,"41.689959, -74.826713",251
12041,"42.539990, -73.973842",14
12778,"41.642678, -74.817550",735
12484,"41.861839, -74.176528","2,540"
14865,"42.356119, -76.826721","2,699"
12433,"42.000525, -74.156458",404
14882,"42.580117, -76.553258","3,943"
13685,"43.925467, -76.085519","2,206"
12522,"41.720153, -73.581931","5,691"
13637,"44.106202, -75.818322","3,849"
13145,"43.651660, -76.123014","1,874"
14011,"42.830674, -78.299709","8,170"
12405,"42.322121, -74.071832",454
14816,"42.188762, -76.737056",624
12070,"42.981313, -74.265712","1,276"
12833,"43.140518, -73.857206","4,492"
12460,"42.409805, -74.162475",376
13308,"43.251374, -75.660412","4,867"
12068,"42.956072, -74.401834","3,999"
13074,"43.319627, -76.550317","4,340"
12056,"42.764876, -74.100328","2,219"
12791,"41.809139, -74.913540",448
14033,"42.660306, -78.684252","2,062"
13363,"43.337328, -75.512822","2,397"
12526,"42.122234, -73.858769","3,638"
13304,"43.231963, -75.170870","1,655"
14769,"42.367931, -79.472317","1,024"
13073,"42.583670, -76.387923","6,000"
14070,"42.419658, -78.917725","5,735"
14489,"43.088381, -76.994347","7,669"
12752,"41.676704, -74.991679",145
13428,"42.915071, -74.546238","1,698"
14532,"42.964101, -77.032088","4,392"
12859,"43.167174, -73.896576","1,984"
12748,"41.770795, -74.928957","1,929"
14125,"43.084919, -78.274609","3,839"
12090,"42.876802, -73.351525","6,189"
14478,"42.572191, -77.128404","1,364"
12037,"42.338761, -73.565767","4,017"
14416,"43.083960, -77.992253","3,875"
13408,"42.919020, -75.664315","3,908"
14744,"42.424066, -78.217658","2,282"
13068,"42.500037, -76.365082","5,038"
13619,"43.978952, -75.600977","11,112"
13077,"42.711074, -76.206959","6,823"
13676,"44.654960, -74.926222","17,029"
13084,"42.880541, -76.124474","4,215"
14141,"42.518547, -78.700622","7,858"
13114,"43.463656, -76.241569","6,462"
12440,"41.803951, -74.140091","2,010"
11957,"41.153376, -72.263818",662
10170,"40.752625, -73.975877",1
14864,"42.285203, -76.845703","1,427"
12514,"41.877418, -73.764441","2,854"
13777,"42.251796, -75.994246","1,049"
14042,"42.462371, -78.473211","4,553"
14105,"43.180186, -78.486578","4,483"
13668,"44.755152, -74.998740","3,173"
14067,"43.212160, -78.556274","5,128"
10969,"41.294796, -74.487978","1,084"
12525,"41.689432, -74.208280","2,868"
14437,"42.569208, -77.733176","12,296"
13035,"42.931819, -75.824233","8,065"
12420,"41.671045, -74.383413",369
14423,"42.937814, -77.835109","4,953"
14770,"42.025254, -78.293380","3,269"
14810,"42.348980, -77.344542","12,536"
13478,"43.144012, -75.581897","3,219"
12125,"42.475027, -73.412709","1,493"
12404,"41.818967, -74.236062","3,772"
13407,"42.965377, -74.944407","5,724"
13167,"43.330099, -76.066134","3,449"
12157,"42.669798, -74.286077","3,987"
12845,"43.424813, -73.718378","4,801"
13744,"42.243494, -75.907999","1,202"
13160,"42.827598, -76.648904","1,856"
14036,"42.973851, -78.389527","5,243"
14545,"42.662130, -77.699536",203
12838,"43.328764, -73.401454",649
14466,"42.779916, -77.583278","1,593"
14476,"43.329379, -78.042800","2,623"
12134,"43.235596, -74.140135","2,623"
14471,"42.747504, -77.499442","2,861"
12844,"43.489063, -73.621362",269
13110,"42.889042, -76.276926","2,472"
14706,"42.106183, -78.528294","7,596"
13746,"42.237222, -75.862775","2,203"
12785,"41.521037, -74.589126",186
12035,"42.733746, -74.371881","1,287"
14081,"42.563205, -79.067832","3,418"
13624,"44.209480, -76.093055","5,810"
14527,"42.666969, -77.068146","12,970"
12185,"42.922756, -73.545061","2,096"
14469,"42.873417, -77.462990","5,982"
12121,"42.851135, -73.612683","1,806"
10975,"41.267079, -74.172263",307
13112,"43.095233, -76.407971","1,922"
13142,"43.556406, -76.129199","6,595"
12972,"44.555281, -73.539491","5,615"
14779,"42.137151, -78.741310","7,352"
13365,"43.070063, -74.850276","8,926"
14895,"42.081440, -77.940922","10,311"
13406,"43.141034, -74.935218",710
13140,"43.060381, -76.650274","4,915"
14886,"42.505751, -76.684980","6,441"
12431,"42.362023, -74.023533","1,463"
13034,"42.961986, -76.711189","1,933"
14516,"43.197860, -76.911334","2,672"
14111,"42.584773, -78.895160","3,160"
13317,"42.862103, -74.589232","3,809"
12822,"43.228513, -73.922216","5,721"
14139,"42.711704, -78.528617","2,031"
14871,"42.039625, -76.911418","4,908"
12516,"42.108103, -73.551361","1,806"
14080,"42.634961, -78.561244","4,727"
14517,"42.593398, -77.892894","2,801"
14569,"42.750485, -78.169399","6,481"
14891,"42.377014, -76.946182","4,409"
12729,"41.489701, -74.613104","1,302"
13054,"43.169352, -75.666823","2,162"
12067,"42.557461, -73.920294","1,854"
14590,"43.245357, -76.832127","5,385"
12493,"41.785589, -73.974095",547
12592,"41.783329, -73.556777","1,214"
12545,"41.779068, -73.677258","4,850"
13802,"42.242134, -76.041266",743
12075,"42.299922, -73.633627","3,106"
14867,"42.343150, -76.618094","5,430"
14521,"42.688238, -76.804245","3,624"
13634,"44.026880, -76.083381","3,825"
14039,"42.831525, -78.177221",117
13044,"43.304757, -75.993273","2,776"
12742,"41.724328, -74.723518",132
13425,"42.970137, -75.490673","1,970"
14757,"42.246047, -79.504370","3,875"
12953,"44.764710, -74.279566","16,270"
12832,"43.358861, -73.318017","7,199"
13042,"43.260450, -75.852580","2,479"
11962,"40.938156, -72.269650",405
13617,"44.580531, -75.142767","10,942"
12921,"44.888344, -73.432591","2,392"
13322,"42.977305, -75.198364","1,104"
12523,"42.069887, -73.753418","1,976"
12083,"42.424856, -74.026466","3,154"
13862,"42.330958, -75.931008","3,936"
12094,"42.899423, -73.489795","2,163"
12746,"41.442314, -74.665141","1,144"
13143,"43.235788, -76.714793","3,416"
12919,"44.959984, -73.454730","2,957"
14143,"42.968891, -78.076941","1,347"
14533,"42.853887, -77.902665","2,320"
13861,"42.508540, -75.151092",652
13328,"42.981397, -75.426471","1,266"
13131,"43.423243, -76.091802","4,029"
13812,"42.034436, -76.348183","2,454"
12790,"41.563427, -74.527399","5,454"
14422,"43.087057, -78.059979","2,518"
12137,"42.860367, -74.133040","1,544"
12423,"42.382493, -74.109110","1,041"
13156,"43.325994, -76.661304","2,313"
14012,"43.332173, -78.532622","2,603"
14869,"42.368195, -76.768955","1,435"
11430,"40.650916, -73.788526",229
12058,"42.345129, -73.918376","1,400"
12918,"44.663770, -73.699653","2,781"
14009,"42.593267, -78.397520","5,695"
14435,"42.711869, -77.666023","2,733"
14710,"42.087770, -79.419847","3,961"
12834,"43.088945, -73.500552","6,678"
14718,"42.345814, -79.287617","2,183"
12780,"41.457111, -74.701686","2,117"
12412,"42.002120, -74.229211",927
13811,"42.225336, -76.179839","4,348"
14030,"42.559707, -78.490059","1,617"
12501,"41.853423, -73.557731","2,340"
14415,"42.753296, -77.023266",62
12416,"42.102658, -74.282783",87
13480,"42.917856, -75.363163","3,459"
12117,"43.169293, -74.261094","3,223"
12763,"41.690603, -74.525308",766
12485,"42.204654, -74.116052","1,480"
13606,"43.866400, -76.022787","2,727"
10987,"41.199212, -74.224545","3,148"
12446,"41.790937, -74.314960","4,925"
14040,"42.882168, -78.377535","2,331"
12765,"41.852332, -74.621157",836
12053,"42.757543, -74.190866","4,497"
14550,"42.676483, -78.098453","1,732"
13159,"42.824842, -76.116211","5,277"
12727,"41.660107, -74.982500",23
13667,"44.837240, -74.960450","3,524"
14433,"43.077038, -76.878578","4,679"
13460,"42.686926, -75.458076","4,424"
12434,"42.354338, -74.482882",663
14571,"43.345849, -78.253890","1,119"
13033,"43.188494, -76.562626","4,544"
12816,"43.043657, -73.363490","4,845"
6390,"41.277367, -71.952693",289
14544,"42.756251, -77.243735","1,908"
12860,"43.705345, -73.757999","1,150"
13028,"43.297634, -75.895223","1,380"
14037,"42.808401, -78.450075","1,067"
14510,"42.683839, -77.881897","5,094"
14572,"42.564924, -77.562596","5,282"
14777,"42.400206, -78.280334",620
13409,"42.974873, -75.596977","2,181"
13329,"43.110979, -74.703510","3,976"
13477,"43.035802, -75.516213","1,398"
12546,"41.948000, -73.523357","3,103"
13694,"44.857601, -75.146018","1,360"
13797,"42.333665, -76.040401","2,405"
12154,"42.927812, -73.590652","2,704"
13310,"42.889620, -75.571545",491
14837,"42.490228, -77.016336","5,314"
13673,"44.180844, -75.726040","2,349"
12029,"42.415956, -73.424965","1,387"
13118,"42.755585, -76.387278","6,728"
13101,"42.599501, -76.066293","2,309"
13675,"44.281718, -75.846286",98
14715,"42.076533, -78.144754","3,277"
12734,"41.734585, -74.750460",837
12074,"43.078638, -74.060443","3,195"
13026,"42.756705, -76.651626","1,841"
12762,"41.664364, -74.792204",342
12809,"43.241806, -73.471231","3,667"
12766,"41.815208, -74.978854",456
12885,"43.524438, -73.821873","4,646"
12059,"42.619229, -74.060894","1,843"
13849,"42.364096, -75.315824","5,151"
14477,"43.335707, -78.133393","1,689"
13450,"42.699265, -74.813133",219
13825,"42.455996, -75.191937","3,535"
13339,"42.936896, -74.658660","6,787"
13809,"42.410311, -75.428623","1,372"
12846,"43.345954, -73.789719","3,162"
13452,"43.043056, -74.630470","4,408"
14427,"42.615137, -78.050762","2,181"
12092,"42.703054, -74.389967",861
14841,"42.517515, -76.852181",773
13111,"43.258488, -76.614264","1,748"
13778,"42.359219, -75.759496","6,389"
12787,"41.795396, -74.845023",223
13301,"43.422141, -75.223686",219
12992,"44.826541, -73.532192","4,533"
13642,"44.332561, -75.465315","10,329"
12160,"42.753580, -74.347628","1,177"
13743,"42.217061, -76.332567","3,807"
12770,"41.449597, -74.851422",272
12457,"42.046634, -74.233239","1,123"
13122,"42.838680, -75.844781","1,209"
13787,"42.200328, -75.665581","3,642"
12883,"43.836665, -73.552970","5,160"
12723,"41.775783, -75.018807","2,251"
14098,"43.333873, -78.378758","2,896"
13354,"43.261606, -75.270920","3,090"
13734,"42.069955, -76.409653","2,511"
14847,"42.608582, -76.734212","2,411"
12935,"44.843039, -73.749557","5,494"
14145,"42.729606, -78.434328","1,732"
13865,"42.064423, -75.637752","6,507"
12517,"42.144292, -73.503163",317
14525,"42.869999, -78.011531","2,971"
14821,"42.238903, -77.207758","3,503"
12567,"41.983070, -73.660642","2,938"
14008,"43.309798, -78.629027","1,489"
12028,"42.934442, -73.442269","1,100"
12116,"42.538795, -74.911164","1,807"
14058,"43.109493, -78.160006","2,325"
12741,"41.830767, -75.088311",252
13796,"42.548152, -75.145203","1,190"
12066,"42.795866, -74.317456","1,797"
12062,"42.547941, -73.544568","1,728"
12057,"42.960614, -73.351947","1,713"
14561,"42.819550, -77.130007","2,875"
12031,"42.767245, -74.446885",130
13605,"43.807294, -76.050285","4,615"
12046,"42.509480, -73.923510",934
14560,"42.690701, -77.582961","2,134"
13733,"42.297364, -75.478119","4,874"
13318,"42.920182, -75.261538","1,429"
14840,"42.441073, -77.188573","3,406"
14842,"42.600505, -76.981134",909
14738,"42.045388, -79.056846","3,800"
12719,"41.483758, -74.916637","1,012"
14736,"42.140503, -79.746885",289
12494,"41.967413, -74.294206",714
13753,"42.295421, -74.924118","5,474"
12887,"43.550808, -73.383202","4,710"
14005,"42.917699, -78.241631","1,753"
12581,"41.900541, -73.692273","2,231"
14838,"42.183871, -76.658655","2,105"
14129,"42.481182, -79.017384","1,812"
12461,"41.926103, -74.301048","1,781"
12156,"42.470821, -73.748257",923
14065,"42.488879, -78.315214","2,003"
12865,"43.214159, -73.347451","3,152"
12850,"43.102616, -73.981441","2,242"
12738,"41.654765, -74.560004",320
13326,"42.722500, -74.895381","5,598"
12783,"41.738633, -74.833724","2,169"
13807,"42.629776, -75.028841","1,319"
14055,"42.562879, -78.600126","1,469"
12168,"42.560992, -73.387574","2,083"
12042,"42.425570, -73.920464",812
13730,"42.238949, -75.571439","2,982"
14857,"42.515012, -76.921115",9
14747,"42.158209, -79.084048","2,436"
12072,"42.884893, -74.356741","2,545"
12193,"42.507525, -74.038399","2,117"
14772,"42.157470, -78.952618","4,274"
13750,"42.459563, -74.831929","1,305"
14883,"42.243022, -76.472102","3,866"
12165,"42.308282, -73.499864",236
14881,"42.405998, -76.351681",161
14726,"42.253585, -79.020279","2,144"
14812,"42.286166, -76.974274","3,932"
13402,"42.908511, -75.499306","1,694"
12064,"42.617772, -74.649399",480
14091,"42.537727, -78.882534","1,135"
14879,"42.307683, -77.202498","1,985"
14740,"42.222299, -79.148649","1,138"
14825,"42.055631, -76.605721",918
12429,"41.815633, -73.974822",51
13431,"43.209082, -75.073328","1,840"
13334,"42.838213, -75.654080","1,526"
12149,"42.630367, -74.559012","2,008"
13092,"42.654563, -76.419295","2,498"
14462,"42.686022, -77.757656",632
13780,"42.431337, -75.483014",923
12957,"44.842599, -74.575140","1,798"
13620,"43.908782, -75.448325","2,499"
14782,"42.265414, -79.259701","2,932"
14817,"42.365570, -76.332004","2,282"
14803,"42.233273, -77.795084","1,241"
13146,"43.100853, -76.756859","2,541"
12958,"44.953538, -73.572922","1,737"
14082,"42.655393, -78.377089",428
13491,"42.864135, -75.168133","3,784"
14775,"42.228753, -79.699933","2,736"
14801,"42.104056, -77.292968","5,427"
13333,"42.836735, -74.805803",142
14591,"42.832021, -78.107328","1,570"
14101,"42.386295, -78.536979","1,949"
14167,"42.750032, -78.324679","1,646"
13483,"43.406502, -75.835393",160
12965,"44.694202, -74.687711",489
12176,"42.382017, -73.980862",175
14727,"42.206974, -78.297252","5,366"
13063,"42.847233, -75.967841","2,027"
13468,"42.848254, -74.851925",459
14815,"42.374323, -77.086684",973
13418,"42.847748, -75.389226",325
12052,"42.747432, -73.463447","1,000"
14062,"42.451343, -79.166476","3,351"
14878,"42.447954, -76.941942",747
12944,"44.442367, -73.514751","4,402"
13808,"42.530472, -75.254515","1,894"
14809,"42.422712, -77.441531","2,610"
12837,"43.476445, -73.255601",849
14013,"43.086290, -78.397746","1,822"
13803,"42.470065, -76.072120","4,225"
14054,"42.908684, -78.148894","1,361"
14823,"42.249138, -77.558954","3,985"
12937,"44.954775, -74.471763","1,524"
13332,"42.764187, -75.581764","2,400"
13411,"42.633789, -75.306457","3,332"
12409,"42.084844, -74.156900",464
14507,"42.675374, -77.305556","1,385"
13864,"42.292696, -76.401099","1,085"
13439,"42.853508, -74.998075","3,893"
12136,"42.439484, -73.555326",875
13368,"43.635778, -75.325203","1,162"
14541,"42.763430, -76.844570","2,006"
12916,"44.829345, -74.514650","1,857"
13754,"42.088482, -75.447962","3,437"
12521,"42.171332, -73.650529","1,499"
12946,"44.273458, -73.962583","8,098"
13841,"42.419610, -75.845795",399
12736,"41.835405, -75.031535",152
14860,"42.577999, -76.830889","1,142"
13438,"43.354138, -75.159614","4,364"
14861,"42.099275, -76.681052","1,459"
13141,"42.752495, -76.185697",789
12458,"41.857544, -74.389725","2,243"
14512,"42.645241, -77.399770","4,668"
13786,"42.454631, -74.690493",435
13416,"43.187390, -74.970566","2,228"
12737,"41.486964, -74.798585","1,500"
14818,"42.454933, -76.818927","1,842"
12960,"44.015756, -73.572348","1,019"
14113,"42.656893, -78.345285",775
13337,"42.757804, -74.999545",868
12926,"44.950817, -74.328997","2,083"
13830,"42.442442, -75.645524","5,144"
13459,"42.775005, -74.588674","2,047"
14858,"42.036293, -77.134052","1,783"
12115,"42.477297, -73.576704",242
13071,"42.675103, -76.542586","1,029"
12167,"42.423174, -74.598846","2,499"
14711,"42.321632, -78.131646","1,931"
13471,"43.378027, -75.610579","3,466"
13061,"42.858748, -75.745465",930
12910,"44.860024, -73.659348","2,340"
13863,"42.435399, -75.906242",598
14754,"42.021908, -78.201569",545
12996,"44.355279, -73.448053","2,129"
14171,"42.424674, -78.649832","2,180"
13309,"43.476533, -75.343325","5,942"
13608,"44.254686, -75.615340","1,618"
14066,"42.615091, -78.186176","1,514"
14813,"42.246862, -77.967713","2,538"
12153,"42.640875, -73.460977",902
14728,"42.263333, -79.423176","1,071"
12726,"41.699480, -74.988521","1,185"
14805,"42.351406, -76.720073","1,207"
14755,"42.233756, -78.804596","2,987"
12122,"42.545070, -74.308047","4,348"
14807,"42.410670, -77.721044","3,120"
12920,"44.911936, -74.067219","2,537"
13661,"43.720822, -76.097899","2,048"
12529,"42.198740, -73.542728","2,457"
13144,"43.568747, -75.977023","1,576"
13335,"42.705575, -75.247960","1,557"
14748,"42.173821, -78.606386",660
14737,"42.329050, -78.428611","4,275"
12496,"42.319697, -74.241265","1,097"
13081,"42.673617, -76.627152","1,189"
14767,"42.040452, -79.514296","1,910"
13316,"43.418917, -75.739740","6,664"
14743,"42.201818, -78.407487","2,034"
13314,"42.825882, -75.324121",939
14138,"42.367234, -79.047120","2,144"
13843,"42.566573, -75.389210","1,720"
13622,"44.086743, -76.100111","2,082"
12138,"42.748844, -73.370413","3,678"
14719,"42.341958, -78.875953","3,561"
12784,"41.667446, -74.611602",59
12087,"42.432250, -73.892894",504
13348,"42.707256, -75.057189","1,359"
14739,"42.197690, -78.155910","2,968"
12817,"43.639819, -73.818906","2,187"
13776,"42.471141, -75.341246",797
12120,"42.465966, -74.136281",539
13660,"44.773868, -75.160958","2,014"
13736,"42.323579, -76.192978","2,342"
12060,"42.410399, -73.505286","1,396"
14731,"42.307754, -78.643656","1,773"
14826,"42.491464, -77.497778","2,254"
13842,"42.381200, -74.724657",538
13839,"42.240354, -75.259059","1,666"
14889,"42.234171, -76.578897","1,458"
14897,"42.043602, -77.794465",890
14418,"42.604430, -77.216428","1,481"
12023,"42.598558, -74.183022","2,121"
13691,"44.227220, -75.773875","2,729"
12459,"42.234184, -74.693522",354
12442,"42.237891, -74.270911",608
13775,"42.332984, -75.159583","1,735"
10020,"40.758236, -73.978833",1
13680,"44.595988, -75.323398","1,303"
13835,"42.393463, -76.155520","1,545"
12422,"42.391829, -74.213288",291
13654,"44.571770, -75.488083","2,329"
14536,"42.541588, -78.082446",664
13052,"42.745091, -75.863841","1,631"
12732,"41.568057, -74.886620",900
12983,"44.218046, -74.206563","7,148"
14806,"42.156645, -77.792643","2,302"
12823,"43.179961, -73.409117",190
14784,"42.319116, -79.389155","1,012"
13303,"43.367414, -75.468212","1,190"
13856,"42.181947, -75.161730","6,568"
12187,"42.618840, -74.463554",684
12824,"43.514318, -73.696762",735
12959,"44.952351, -73.719912","1,467"
12448,"42.089536, -74.200347",218
12418,"42.355986, -74.156318",612
12197,"42.609999, -74.724749","2,397"
12022,"42.670232, -73.327389",813
14880,"42.172558, -77.974607","1,644"
14873,"42.515864, -77.304978","2,422"
12473,"42.277061, -74.078875",736
14709,"42.356494, -77.982064","1,510"
12435,"41.730835, -74.513284",261
13697,"44.754714, -74.810347","2,165"
14824,"42.265778, -76.693080",869
13625,"44.542508, -74.910389","1,882"
12941,"44.349395, -73.727808","1,429"
14741,"42.219966, -78.611624","2,076"
13804,"42.220452, -75.359973",389
13147,"42.775406, -76.569608","1,204"
14735,"42.452690, -78.096169","2,643"
14724,"42.046328, -79.669830","2,577"
12966,"44.798893, -74.418686","2,836"
13614,"44.532249, -75.693434",289
13810,"42.606817, -75.108363","1,296"
13844,"42.605698, -75.689550","1,034"
13302,"43.498110, -75.965068","1,556"
13464,"42.687973, -75.615788","1,341"
12175,"42.563979, -74.556746",950
12786,"41.638630, -74.857203",665
12814,"43.624528, -73.636205","1,552"
13343,"43.742548, -75.326461","1,752"
14855,"42.145700, -77.497396",841
12724,"41.858901, -74.943035",296
12166,"42.844633, -74.460179","1,501"
12873,"43.117451, -73.311646",808
12914,"44.930433, -74.602930","1,163"
14723,"42.317704, -79.157231","1,262"
12147,"42.518611, -74.158840",528
12502,"42.083350, -73.656655","1,114"
14836,"42.509496, -77.923667","1,103"
13656,"44.192235, -75.955486","2,655"
12827,"43.440555, -73.506595","3,815"
13486,"43.347530, -75.356372",832
12917,"44.939317, -74.174695","1,312"
13613,"44.843198, -74.749024","2,450"
13433,"43.589518, -75.242417","1,732"
12468,"42.299024, -74.400728","1,349"
12740,"41.879181, -74.495101","2,088"
14859,"42.141589, -76.547214","1,137"
13493,"43.432843, -75.897509","2,199"
14753,"42.040451, -78.638622","1,212"
13788,"42.338730, -74.666876",912
13846,"42.363723, -75.054746",342
12503,"42.030487, -73.574202",830
13083,"43.650543, -75.982795","1,759"
12036,"42.541514, -74.673053",265
